"","mouse.id","tissue","Compound","labeling"
"1","a","liver","Malate",0.00659060294965051
"2","b","liver","Malate",0.0062825553654365
"3","c","liver","Malate",0.0068000890217075
"4","d","liver","Malate",0.00516892779999065
"5","e","liver","Malate",0.00811990824013278
"6","f","liver","Malate",0.00729867474547697
"7","g","liver","Malate",0.00914300905939353
"8","h","liver","Malate",0.00666763414935837
"9","i","liver","Malate",0.00745683048754384
"10","j","liver","Malate",0.00752172396405442
"11","k","liver","Malate",0.00830277279252607
"12","l","liver","Malate",0.00892765959684809
"13","a","liver","Succinic acid",0.00841052737952195
"14","b","liver","Succinic acid",0.00916150567315523
"15","c","liver","Succinic acid",0.00834906478608384
"16","d","liver","Succinic acid",0.00722252529479295
"17","e","liver","Succinic acid",0.00867798452364845
"18","f","liver","Succinic acid",0.00871376455602993
"19","g","liver","Succinic acid",0.00873702424329933
"20","h","liver","Succinic acid",0.00906886083810133
"21","i","liver","Succinic acid",0.00908743657418296
"22","j","liver","Succinic acid",0.00897886445988446
"23","k","liver","Succinic acid",0.00919150579316156
"24","l","liver","Succinic acid",0.00960430073178215
"25","b","serum","Phenylalanine",0.0353560926124113
"26","c","serum","Phenylalanine",0.0375222304814053
"27","d","serum","Phenylalanine",0.0455371518309453
"28","e","serum","Phenylalanine",0.0329593819002547
"29","f","serum","Phenylalanine",0.0448012158222435
"30","j","serum","Phenylalanine",0.0342571205759895
"31","k","serum","Phenylalanine",0.0337485883766051
"32","l","serum","Phenylalanine",0.0436293949905622
"33","b","serum","Tyrosine",0.0260795544255996
"34","c","serum","Tyrosine",0.0303157605835509
"35","d","serum","Tyrosine",0.0333877864142544
"36","e","serum","Tyrosine",0.0295228706256269
"37","f","serum","Tyrosine",0.0374054446448399
"38","j","serum","Tyrosine",0.0283909932862192
"39","k","serum","Tyrosine",0.0318499097458794
"40","l","serum","Tyrosine",0.036422085230015
"41","b","serum","Isoleucine",0.0240637975040575
"42","c","serum","Isoleucine",0.0287109994848166
"43","d","serum","Isoleucine",0.034266953002896
"44","e","serum","Isoleucine",0.0263236817103721
"45","f","serum","Isoleucine",0.0366839493835623
"46","j","serum","Isoleucine",0.0287020060633454
"47","k","serum","Isoleucine",0.0277890693849644
"48","l","serum","Isoleucine",0.0356054100563583
"49","b","serum","Leucine",0.0227997135340428
"50","c","serum","Leucine",0.024689034902299
"51","d","serum","Leucine",0.0316553909248923
"52","e","serum","Leucine",0.026431610976368
"53","f","serum","Leucine",0.0308166066656774
"54","j","serum","Leucine",0.025927256896771
"55","k","serum","Leucine",0.0257252415231805
"56","l","serum","Leucine",0.0309537266344257
"57","b","serum","Valine",0.0235594149739481
"58","c","serum","Valine",0.0256225852599541
"59","d","serum","Valine",0.0278017967254163
"60","e","serum","Valine",0.0253113998250001
"61","f","serum","Valine",0.030177964344581
"62","j","serum","Valine",0.0253457761638213
"63","k","serum","Valine",0.0262081196412838
"64","l","serum","Valine",0.0308924485126029
"65","b","serum","Threonine",0.0139822207357314
"66","c","serum","Threonine",0.0167227573690639
"67","d","serum","Threonine",0.019549995806584
"68","e","serum","Threonine",0.00975060434635808
"69","f","serum","Threonine",0.0196862408394949
"70","j","serum","Threonine",0.0165166397642297
"71","k","serum","Threonine",0.0177145218610161
"72","l","serum","Threonine",0.0341575679061635
"73","b","serum","Arginine",0.00736627369286183
"74","c","serum","Arginine",0.0120372589632488
"75","d","serum","Arginine",0.0191752479385924
"76","e","serum","Arginine",0.0121104887785196
"77","f","serum","Arginine",0.0207320060561616
"78","j","serum","Arginine",0.0177446568400802
"79","k","serum","Arginine",0.0146076330494113
"80","l","serum","Arginine",0.0201287075251522
"81","b","serum","Glycine",0
"82","c","serum","Glycine",0.0246774410465504
"83","d","serum","Glycine",0.0172016926480484
"84","e","serum","Glycine",0.0129845911715297
"85","f","serum","Glycine",0.00231774837534123
"86","j","serum","Glycine",0.0194489674125832
"87","k","serum","Glycine",0.00800749709644359
"88","l","serum","Glycine",0.0225466175223146
"89","b","serum","Lysine",0.00962013919843283
"90","c","serum","Lysine",0.0105778837381467
"91","d","serum","Lysine",0.0146145333345494
"92","e","serum","Lysine",0.0168278009641784
"93","f","serum","Lysine",0.0134050024968918
"94","j","serum","Lysine",0.011609222941131
"95","k","serum","Lysine",0.0112644686887165
"96","l","serum","Lysine",0.0140406096178939
"97","b","serum","Glutamate",0.00774443483715818
"98","c","serum","Glutamate",0.00741273210243024
"99","d","serum","Glutamate",0.00799968148759615
"100","e","serum","Glutamate",0.00953558713135023
"101","f","serum","Glutamate",0.00963616113442225
"102","j","serum","Glutamate",0.0114489921483186
"103","k","serum","Glutamate",0.00925023528240771
"104","l","serum","Glutamate",0.0150555016517386
"105","b","serum","Tryptophan",0.00394984482641299
"106","c","serum","Tryptophan",0.0113844391541307
"107","d","serum","Tryptophan",0.00938478746578555
"108","e","serum","Tryptophan",0.00927772990793403
"109","f","serum","Tryptophan",0.00751531489097006
"110","j","serum","Tryptophan",0.00954800156015759
"111","k","serum","Tryptophan",0.00896676529536171
"112","l","serum","Tryptophan",0.00841140547566279
"113","b","serum","Glutamine",0.00765720899382279
"114","c","serum","Glutamine",0.00628685544202736
"115","d","serum","Glutamine",0.00506088510824461
"116","e","serum","Glutamine",0.007638265214978
"117","f","serum","Glutamine",0.00745307628656385
"118","j","serum","Glutamine",0.00869583512975305
"119","k","serum","Glutamine",0.00925665269951884
"120","l","serum","Glutamine",0.00778610214565818
"121","b","serum","Alanine",0.00341245256287332
"122","c","serum","Alanine",0.00262847393711243
"123","d","serum","Alanine",0.00554516411386747
"124","e","serum","Alanine",0.0064756070117712
"125","f","serum","Alanine",0.00561300750810324
"126","j","serum","Alanine",0.00781312789331525
"127","k","serum","Alanine",0.00351887080810928
"128","l","serum","Alanine",0.00783918445937106
"129","b","serum","Serine",0.00680805800842357
"130","c","serum","Serine",0.00793240474140488
"131","d","serum","Serine",0.00267295939274979
"132","e","serum","Serine",0.0015588476709398
"133","f","serum","Serine",0.0030961873583819
"134","j","serum","Serine",0.0045807977785999
"135","k","serum","Serine",0.00252037641796745
"136","l","serum","Serine",0.00417473821487268
