label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank_1,Blank_2,liver_1,liver_2,liver_3,liver_4,liver_5,liver_6,liver_7,serum_1,serum_2,serum_3,serum_4,serum_5,serum_6,serum_7
,34,34,15,255.233383,1.182,0.823292,[M-H]-,C12 PARENT,C16:0,C16:0,C16H32O2,0.818,1.673946,255.233383,29097728.00,5979926.50,138344832.00,103527992.00,122229120.00,99640320.00,121514488.00,112238856.00,107185080.00,187658800.00,179940160.00,191161216.00,138596752.00,210001792.00,217732016.00,183006000.00
,34,35,8,256.236694,1.181,0.718428,,C13-label-1,C16:0,C16:0,C16H32O2,0.819,1.429192,255.233383,5224896.50,986225.00,23941520.00,17478822.00,21103224.00,17116466.00,22417022.00,19745550.00,18401626.00,31904080.00,31185286.00,32731680.00,23823206.00,38071172.00,38986148.00,32373322.00
,34,36,8,257.240204,1.178,0.735040,,C13-label-2,C16:0,C16:0,C16H32O2,0.822,2.016792,255.233383,358155.50,68842.16,1508479.88,1335960.62,1845463.00,1666789.62,5417148.00,2127191.50,3570127.25,2435032.00,2770266.25,2817711.00,2404563.00,7406409.50,4279632.00,5551294.00
,34,37,7,258.243500,1.183,0.823124,,C13-label-3,C16:0,C16:0,C16H32O2,0.817,1.772608,255.233383,0.00,0.00,0.00,114197.93,55747.75,49384.41,992915.00,150758.19,596794.56,266265.88,186571.27,115428.66,132668.59,789068.06,403048.53,716089.94
,34,38,3,259.246887,1.186,0.830292,,C13-label-4,C16:0,C16:0,C16H32O2,0.814,1.883464,255.233383,0.00,0.00,0.00,0.00,0.00,0.00,664775.25,25054.50,454900.38,0.00,0.00,0.00,0.00,599080.75,0.00,339675.84
,34,39,0,260.250000,1.194,0.073360,,C13-label-5,C16:0,C16:0,C16H32O2,0.806,0.938101,255.233383,0.00,0.00,0.00,0.00,0.00,0.00,53517.84,0.00,91509.13,0.00,0.00,0.00,0.00,40161.43,0.00,0.00
,34,40,0,261.253601,1.204,0.070046,,C13-label-6,C16:0,C16:0,C16H32O2,0.796,1.985809,255.233383,0.00,0.00,0.00,0.00,0.00,0.00,30261.15,0.00,72630.16,0.00,0.00,0.00,0.00,16842.40,0.00,0.00
,41,41,16,281.249054,1.161,0.827081,[M-H]-,C12 PARENT,C18:1,C18:1,C18H34O2,0.839,1.627612,281.249054,22891368.00,7873997.50,28045158.00,15233661.00,26262882.00,24458402.00,47538244.00,36410532.00,29799902.00,199455568.00,117867896.00,150784736.00,79416744.00,297247072.00,198019088.00,228089968.00
,41,42,13,282.252411,1.161,0.772644,,C13-label-1,C18:1,C18:1,C18H34O2,0.839,1.513705,281.249054,4347170.00,1575468.38,5328852.00,3024919.00,5087300.50,4815985.00,10190153.00,7068054.50,6059672.00,38524244.00,22521858.00,28957530.00,15667384.00,59501940.00,39891020.00,43747392.00
,41,43,13,283.256165,1.159,0.831058,,C13-label-2,C18:1,C18:1,C18H34O2,0.841,2.908947,281.249054,403763.34,136275.42,1227088.62,555469.88,1020746.56,1006078.69,3197365.75,1466000.62,2008945.62,3553204.00,2054427.62,2625360.25,1928090.00,7570396.50,3906778.25,4996958.50
