compound,formula,id,sample,treatment,C12 PARENT,D2-label-2,D2-label-3,D2-label-4,D2-label-5
C16:0,C16H32O2,s1,L1,GFP,5496169984,25734064,9622984,2628300.5,773461.25
C16:0,C16H32O2,s2,L1,TdT,4524930048,23465632,8292106,1371869.88,401815.66
C16:0,C16H32O2,s3,L1,DP,4128539904,21365926,5871673.5,2033134.88,209428.11
C16:0,C16H32O2,s4,L1,after,7665817600,44046560,12325891,3243919.75,793960
C16:0,C16H32O2,s33,L10,GFP,9968114688,18547824,8106136.5,2736325,783988.81
C16:0,C16H32O2,s34,L10,after,13731214336,18470652,9671740,3890265,918481.81
C16:0,C16H32O2,s35,L10,DP,6681315328,8271588.5,3735810.75,586293.88,227471.7
C16:0,C16H32O2,s36,L10,TdT,8921728000,17178458,4152607,1676100.12,206029.88
C16:0,C16H32O2,s5,L2,GFP,5700297216,27156362,10509429,3248982,735287.81
C16:0,C16H32O2,s6,L2,DP,3925251840,12479848,4848165.5,1421699.88,252677.8
C16:0,C16H32O2,s7,L2,TdT,4200926208,21224790,7670209.5,2075589.62,542127
C16:0,C16H32O2,s8,L2,after,5623380480,31227512,13270269,2470511,687094.19
C16:0,C16H32O2,s10,L3,after,7267934208,47142288,18170202,4248178.5,1172789.5
C16:0,C16H32O2,s11,L3,TdT,3921293568,15624056,4644290.5,1275768.62,168196.42
C16:0,C16H32O2,s9,L3,GFP,3546669824,12579016,3917223.25,1094646.88,155014.42
C16:0,C16H32O2,s12,L4,GFP,3474448128,9502571,2838956.75,896636.44,333114.41
C16:0,C16H32O2,s13,L4,after,6777470976,29599110,11308265,2881776.25,487133.62
C16:0,C16H32O2,s14,L4,TdT,3600703232,11385367,3530548,583343.19,80593.77
C16:0,C16H32O2,s15,L5,GFP,3998491904,11756807,4324053.5,855561.44,359594.34
C16:0,C16H32O2,s16,L5,DP,2665271040,5678036,1588353,448166.34,10453.14
C16:0,C16H32O2,s17,L5,after,4917978624,16474792,6661931.5,1885801,155822.66
C16:0,C16H32O2,s18,L5,TdT,3598537472,8835616,2601103,842445.19,156693.38
C16:0,C16H32O2,s19,L6,after,13489729536,55911104,32081030,9843384,3253616
C16:0,C16H32O2,s20,L6,GFP,10218578944,45265996,22062662,5886118,1896865
C16:0,C16H32O2,s21,L6,TdT,8464899584,34833032,12496620,5927090,1445439.5
C16:0,C16H32O2,s22,L6,DP,7724887552,28061498,11051213,4204294.5,980274.5
C16:0,C16H32O2,s23,L7,GFP,4870499328,23873560,9788286,3077707,643190.38
C16:0,C16H32O2,s24,L7,TdT,6040600576,33370166,14183551,4579359.5,890395
C16:0,C16H32O2,s25,L7,after,7325550080,41134140,16745837,5134393.5,1467693.62
C16:0,C16H32O2,s26,L8,after,12108939264,62694240,25781472,11164310,2361126
C16:0,C16H32O2,s27,L8,DP,7647821824,36478788,14515672,4213343.5,1567000.38
C16:0,C16H32O2,s28,L8,TdT,8686359552,39845668,19531672,6443105.5,1525615.88
C16:0,C16H32O2,s29,L8,GFP,10232125440,51890532,25366382,7411604,2236258.25
C16:0,C16H32O2,s30,L9,after,12446388224,36690536,16463312,5388110.5,1226116.5
