Time difference of 2.621014 hours
reaction #12; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinA
reaction #55; stage UB; binary index 1; optim.step 2; tracer 13CHB
reaction #21; stage UB; binary index 1; optim.step 1; tracer 13CHB
reaction #64; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinA
reaction #73; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinB
reaction #9; stage UB; binary index 1; optim.step 3; tracer 13CHB
reaction #27; stage UB; binary index 1; optim.step 3; tracer 13CGlycerol
reaction #69; stage UB; binary index 1; optim.step 3; tracer 13CGlycerol
reaction #6; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinA
reaction #28; stage LB; binary index 8; optim.step 4; tracer 13CHB
reaction #12; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinB
reaction #55; stage UB; binary index 1; optim.step 2; tracer 13CLinoKinA
reaction #64; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinB
reaction #21; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinA
reaction #73; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinC
reaction #9; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinA
reaction #6; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinB
reaction #27; stage UB; binary index 1; optim.step 3; tracer 13CAla
reaction #69; stage UB; binary index 1; optim.step 3; tracer 13CAla
reaction #28; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinA
reaction #12; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinC
reaction #55; stage UB; binary index 1; optim.step 2; tracer 13CLinoKinB
reaction #64; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinC
reaction #21; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinB
reaction #73; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinD
reaction #9; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinB
reaction #6; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinC
reaction #27; stage UB; binary index 1; optim.step 3; tracer 13CGln
reaction #69; stage UB; binary index 1; optim.step 3; tracer 13CGln
reaction #28; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinB
reaction #12; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinD
reaction #55; stage UB; binary index 1; optim.step 2; tracer 13CLinoKinC
reaction #64; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinD
reaction #21; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinC
reaction #73; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinE
reaction #9; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinC
reaction #6; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinD
reaction #27; stage UB; binary index 1; optim.step 3; tracer 13CHB
reaction #69; stage UB; binary index 1; optim.step 3; tracer 13CHB
reaction #28; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinC
reaction #12; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinE
reaction #55; stage UB; binary index 1; optim.step 2; tracer 13CLinoKinD
reaction #64; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinE
reaction #21; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinD
reaction #73; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinF
reaction #9; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinD
reaction #6; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinE
reaction #28; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinD
reaction #27; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinA
reaction #69; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinA
reaction #12; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinF
reaction #55; stage UB; binary index 1; optim.step 2; tracer 13CLinoKinE
reaction #64; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinF
reaction #21; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinE
reaction #73; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinG
reaction #9; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinE
reaction #6; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #28; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinE
reaction #27; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinB
reaction #69; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinB
reaction #12; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinG
reaction #55; stage UB; binary index 1; optim.step 2; tracer 13CLinoKinF
reaction #64; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinG
reaction #21; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #73; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinH
reaction #6; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #9; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinF
reaction #28; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinF
reaction #27; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinC
reaction #69; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinC
reaction #12; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinH
reaction #55; stage UB; binary index 1; optim.step 2; tracer 13CLinoKinG
reaction #64; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinH
reaction #21; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #73; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinI
reaction #9; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinG
reaction #6; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #28; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinG
reaction #27; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinD
reaction #69; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinD
reaction #12; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinI
reaction #55; stage UB; binary index 1; optim.step 2; tracer 13CLinoKinH
reaction #64; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinI
reaction #21; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #73; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinJ
reaction #9; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinH
reaction #6; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #28; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinH
reaction #27; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinE
reaction #69; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinE
reaction #12; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinJ
reaction #55; stage UB; binary index 1; optim.step 2; tracer 13CLinoKinI
reaction #64; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinJ
reaction #21; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #73; stage UB; binary index 1; optim.step 4; tracer 13CGlc
reaction #9; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinI
reaction #6; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #27; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinF
reaction #28; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinI
reaction #69; stage UB; binary index 1; optim.step 3; tracer 13CLinoKinF
# A tibble: 1 × 3
  flux.index flux.value  cost
       <dbl>      <dbl> <dbl>
1         12       520. 0.117
reaction #13; stage UB; binary index 1
h =  585.91
