Time difference of 6.203875 hours
reaction #79; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinA
reaction #8; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinE
reaction #89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinC
reaction #86; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinC
reaction #19; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinD
reaction #21; stage UB; binary index 7; optim.step 6; tracer 13CLinoKinD
net flux v87-v89; stage LB; binary index 2; optim.step 1; tracer 13CGln
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinC
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinC
reaction #52; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinD
reaction #73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinC
reaction #56; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinA
reaction #23; stage LB; binary index 1; optim.step 1; tracer 13CLinoKinA
net flux v5-v6; stage LB; binary index 2; optim.step 1; tracer 13CGln
sum of fluxes v65+v66+v67+v68+v69+v70; stage LB; binary index 1; optim.step 5; tracer 13ChpSCFAc
reaction #70; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinB
reaction #66; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinA
sum of fluxes v55+v56+v57+v58+v59+v60+v61; stage LB; binary index 1; optim.step 5; tracer 13ChpSCFAb
reaction #27; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinC
reaction #5; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinC
net flux v75-v73; stage LB; binary index 2; optim.step 1; tracer 13CGln
reaction #83; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinD
reaction #54; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinC
reaction #10; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinE
reaction #60; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinE
reaction #12; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinB
reaction #65; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinC
reaction #92; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinC
reaction #79; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinB
reaction #8; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinF
reaction #89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinD
reaction #86; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinD
reaction #19; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinE
reaction #21; stage UB; binary index 7; optim.step 6; tracer 13CLinoKinE
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinD
net flux v87-v89; stage LB; binary index 2; optim.step 1; tracer 13CHB
reaction #52; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinE
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinD
reaction #73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinD
reaction #56; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinB
sum of fluxes v65+v66+v67+v68+v69+v70; stage LB; binary index 1; optim.step 5; tracer 13ChpSCFAd
reaction #23; stage LB; binary index 1; optim.step 1; tracer 13CLinoKinB
net flux v5-v6; stage LB; binary index 2; optim.step 1; tracer 13CHB
reaction #70; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinC
reaction #66; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinB
sum of fluxes v55+v56+v57+v58+v59+v60+v61; stage LB; binary index 1; optim.step 5; tracer 13ChpSCFAc
reaction #27; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinD
reaction #5; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinD
net flux v75-v73; stage LB; binary index 2; optim.step 1; tracer 13CHB
reaction #83; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinE
