"","compound","formula","rt"
"1","TG(16:1_20:5_22:6)","C61H97O6N",9.6356
"2","TG(16:1_22:6_22:6)","C63H99O6N",9.7047
"3","TG(18:1_14:2_22:6)","C57H95O6N",9.7049
"4","TG(16:1_20:4_22:6)","C61H99O6N",9.975
"5","TG(16:0_20:4_22:6)","C61H101O6N",10.5483
"6","TG(16:0_22:6_22:6)","C63H101O6N",10.5483
"7","TG(18:1_20:4_22:6)","C63H103O6N",10.5865
"8","TG(18:1_22:5_22:6)","C65H105O6N",10.664
"9","TG(18:1_22:6_24:6)","C67H107O6N",10.7037
"10","TG(17:0_16:1_17:1)","C53H101O6N",10.7454
"11","TG(14:0_16:0_22:6)","C55H97O6N",10.7601
"12","TG(16:0_16:1_22:6)","C57H99O6N",10.7903
"13","TG(18:1_20:3_22:6)","C63H105O6N",10.8226
"14","TG(16:0_18:0_22:6)","C59H105O6N",10.8606
"15","TG(16:1_18:1_20:2)","C57H105O6N",10.9451
"16","TG(18:0_22:6_22:6)","C65H105O6N",11.0715
"17","TG(16:0_18:1_22:6)","C59H103O6N",11.0886
"18","TG(14:0_16:0_16:1)","C49H95O6N",11.1019
"19","TG(16:0_16:1_20:4)","C55H99O6N",11.104
"20","TG(18:0_22:5_22:6)","C65H107O6N",11.2439
"21","TG(38:5_18:1)","C59H105O6N",11.2749
"22","TG(18:1_24:5_22:6)","C67H109O6N",11.2894
"23","TG(22:4_16:0_20:0)","C61H113O6N",11.2982
"24","TG(18:0_20:4_22:6)","C63H105O6N",11.3039
"25","TG(22:5_18:0_20:0)","C63H115O6N",11.3568
"26","TG(16:0_18:1_20:2)","C57H107O6N",11.3966
"27","TG(18:1_20:4_24:5)","C65H109O6N",11.4148
"28","TG(16:0_18:1_22:6)","C59H103O6N",11.4168
"29","TG(18:1_18:1_22:6)","C61H105O6N",11.42
"30","TG(18:1_18:1_21:5)","C60H105O6N",11.4464
"31","TG(16:0_18:1_22:5)","C59H105O6N",11.7245
"32","TG(16:0_20:1_22:6)","C61H107O6N",11.7598
"33","TG(16:0_18:1_20:4)","C57H103O6N",11.7677
"34","TG(16:0_18:1_22:3)","C59H109O6N",11.7735
"35","TG(16:0_16:0_20:4)","C55H101O6N",11.8249
"36","TG(14:0_16:0_16:0)","C49H97O6N",11.8347
"37","TG(18:1_19:1_22:6)","C62H107O6N",11.8355
"38","TG(14:0_16:0_18:1)","C51H99O6N",11.847
"39","TG(18:1_20:1_22:6)","C63H109O6N",11.8488
"40","TG(16:0_19:1_21:1)","C59H113O6N",11.8492
"41","TG(16:0_16:1_18:1)","C53H101O6N",11.8622
"42","TG(18:0_20:4_22:5)","C63H107O6N",11.8635
"43","TG(18:0_22:4_22:6)","C65H109O6N",11.8645
"44","TG(16:0_18:1_20:2)","C57H107O6N",11.9583
"45","TG(18:1_17:2_20:3)","C58H103O6N",11.9883
"46","TG(16:0_18:0_18:1)","C55H107O6N",12.0327
"47","TG(18:1_16:0_20:3)","C57H105O6N",12.0345
"48","TG(21:3_17:3_19:4)","C60H99O6N",12.0881
"49","TG(17:0_16:1_18:1)","C54H103O6N",12.1129
"50","TG(20:1_20:2_18:3)","C61H109O6N",12.1129
"51","TG(16:0_17:1_18:1)","C54H103O6N",12.4265
"52","TG(18:0_18:1_20:2)","C59H111O6N",12.4607
"53","TG(17:0_18:1_22:5)","C60H107O6N",12.5593
"54","TG(18:0_18:1_20:4)","C59H107O6N",12.5804
"55","TG(18:0_18:1_24:6)","C63H111O6N",12.587
"56","TG(18:0_18:1_22:5)","C61H109O6N",12.5972
"57","TG(14:0_16:0_18:0)","C51H101O6N",12.6089
"58","TG(16:0_18:1_18:1)","C55H105O6N",12.6179
"59","TG(16:0_18:0_20:4)","C57H105O6N",12.6208
"60","TG(16:0_16:0_18:1)","C53H103O6N",12.623
"61","TG(17:0_18:1_22:4)","C60H109O6N",12.6481
"62","TG(19:0_18:1_19:1)","C59H113O6N",12.6601
"63","TG(18:0_22:4_22:4)","C65H113O6N",12.6818
"64","TG(17:0_19:1_19:2)","C58H109O6N",12.7342
"65","TG(18:0_18:1_22:4)","C61H111O6N",13.0667
"66","TG(16:0_20:0_22:6)","C61H109O6N",13.0986
"67","TG(19:0_18:1_20:3)","C60H111O6N",13.1013
"68","TG(18:0_18:0_20:4)","C59H109O6N",13.2105
"69","TG(16:0_18:0_18:1)","C55H107O6N",13.4233
"70","TG(16:0_22:0_22:6)","C63H113O6N",13.4285
"71","TG(16:0_16:0_18:0)","C53H105O6N",13.4372
"72","TG(18:1_18:1_20:1)","C59H111O6N",13.4455
"73","TG(20:0_18:1_20:4)","C61H111O6N",13.4527
"74","TG(18:0_20:1_20:3)","C61H113O6N",13.4825
"75","TG(16:0_18:1_20:1)","C57H109O6N",13.5098
"76","TG(18:1_22:1_20:3)","C63H115O6N",13.7573
"77","TG(18:0_18:1_18:1)","C57H109O6N",13.7746
"78","TG(16:0_19:0_18:1)","C56H109O6N",13.7799
"79","TG(18:0_18:0_22:4)","C61H113O6N",13.8102
"80","TG(16:0_18:1_22:1)","C59H113O6N",14.1661
"81","TG(16:0_20:0_18:1)","C57H111O6N",14.212
"82","TG(16:0_18:0_18:0)","C55H109O6N",14.3038
"83","TG(21:1_18:0_19:1)","C61H117O6N",14.3921
"84","TG(16:0_22:0_18:1)","C59H115O6N",14.926
"85","TG(16:0_18:0_20:0)","C57H113O6N",14.9908
"86","TG(18:0_18:0_18:0)","C57H113O6N",15.2505
