"","compound","formula","rt"
"1","TG(16:0_18:1_18:2)","C55H103O6N",6.2163
"2","TG(16:0_18:1_18:2)","C55H103O6N",6.622
"3","TG(18:2_18:4_22:6)","C61H97O6N",9.1769
"4","TG(18:2_18:3_18:4)","C57H95O6N",9.3209
"5","TG(14:0_18:2_18:4)","C53H93O6N",9.5519
"6","TG(16:2_18:2_22:6)","C59H97O6N",9.6324
"7","TG(16:1_18:2_18:4)","C55H95O6N",9.6591
"8","TG(18:2_18:3_18:3)","C57H97O6N",9.6849
"9","TG(18:1_18:2_18:3)","C57H101O6N",10.235
"10","TG(14:0_16:1_18:2)","C51H95O6N",10.5959
"11","TG(16:0_18:2_18:3)","C55H99O6N",10.7199
"12","TG(19:1_18:2_21:2)","C61H111O6N",10.7348
"13","TG(16:0_18:1_18:2)","C55H103O6N",10.7569
"14","TG(18:1_18:2_18:2)","C57H103O6N",10.7583
"15","TG(16:0_16:2_18:2)","C53H97O6N",10.7602
"16","TG(18:1_18:2_22:6)","C61H103O6N",10.8006
"17","TG(16:0_18:2_22:6)","C59H101O6N",10.8048
"18","TG(16:0_18:2_21:5)","C58H101O6N",10.8167
"19","TG(16:0_18:2_20:4)","C57H101O6N",10.9808
"20","TG(17:1_18:2_20:3)","C58H103O6N",11.0703
"21","TG(16:0_17:2_18:2)","C54H99O6N",11.0715
"22","TG(16:0_18:1_18:2)","C55H103O6N",11.1684
"23","TG(14:0_16:0_18:2)","C51H97O6N",11.1743
"24","TG(16:0_16:1_18:2)","C53H99O6N",11.1947
"25","TG(16:1_18:1_18:2)","C55H101O6N",11.2988
"26","TG(18:1_18:2_18:2)","C57H103O6N",11.3304
"27","TG(16:0_18:0_18:2)","C55H105O6N",11.333
"28","TG(18:1_18:1_18:2)","C57H105O6N",11.3801
"29","TG(16:0_18:2_20:4)","C57H101O6N",11.3892
"30","TG(20:1_18:2_22:6)","C63H107O6N",11.4124
"31","TG(15:0_18:1_18:2)","C54H101O6N",11.435
"32","TG(16:0_18:2_22:3)","C59H107O6N",11.441
"33","TG(15:0_16:0_18:2)","C52H99O6N",11.4706
"34","TG(16:0_17:1_18:2)","C54H101O6N",11.7257
"35","TG(17:1_18:1_18:2)","C56H103O6N",11.7257
"36","TG(18:2_16:0_18:0)","C55H105O6N",11.8953
"37","TG(16:0_18:1_18:2)","C55H103O6N",11.942
"38","TG(18:1_18:2_20:2)","C59H107O6N",12.0565
"39","TG(22:1_18:2_22:6)","C65H111O6N",12.0985
"40","TG(18:0_18:1_18:2)","C57H107O6N",12.6825
"41","TG(18:1_20:1_18:2)","C59H109O6N",12.6974
"42","TG(18:1_18:2_22:2)","C61H111O6N",12.8255
"43","TG(19:0_18:1_18:2)","C58H109O6N",13.1325
"44","TG(24:1_18:2_20:4)","C65H115O6N",13.3807
"45","TG(20:0_18:1_18:2)","C59H111O6N",13.6364
"46","TG(20:0_18:1_18:2)","C59H111O6N",13.7527
"47","TG(21:0_18:1_18:2)","C60H113O6N",13.8337
"48","TG(22:0_18:1_18:2)","C61H115O6N",14.3782
"49","TG(16:0_24:0_18:2)","C61H117O6N",14.9001
"50","TG(16:0_24:0_18:2)","C61H117O6N",15.2649
