"","compound","formula","rt"
"1","TG(16:0_18:1_18:2)","C55H103O6N",6.2163
"2","TG(16:0_18:1_18:2)","C55H103O6N",6.622
"3","TG(18:2_18:4_22:6)","C61H97O6N",9.1769
"4","TG(18:2_18:3_18:4)","C57H95O6N",9.3209
"5","TG(14:0_18:2_18:4)","C53H93O6N",9.5519
"6","TG(16:2_18:2_22:6)","C59H97O6N",9.6324
"7","TG(16:1_20:5_22:6)","C61H97O6N",9.6356
"8","TG(16:1_18:2_18:4)","C55H95O6N",9.6591
"9","TG(18:2_18:3_18:3)","C57H97O6N",9.6849
"10","TG(16:1_22:6_22:6)","C63H99O6N",9.7047
"11","TG(18:1_14:2_22:6)","C57H95O6N",9.7049
"12","TG(16:1_20:4_22:6)","C61H99O6N",9.975
"13","TG(18:1_18:2_18:3)","C57H101O6N",10.235
"14","TG(16:0_20:4_22:6)","C61H101O6N",10.5483
"15","TG(16:0_22:6_22:6)","C63H101O6N",10.5483
"16","TG(18:1_20:4_22:6)","C63H103O6N",10.5865
"17","TG(14:0_16:1_18:2)","C51H95O6N",10.5959
"18","TG(18:1_22:5_22:6)","C65H105O6N",10.664
"19","TG(18:1_22:6_24:6)","C67H107O6N",10.7037
"20","TG(16:0_18:2_18:3)","C55H99O6N",10.7199
"21","TG(19:1_18:2_21:2)","C61H111O6N",10.7348
"22","TG(17:0_16:1_17:1)","C53H101O6N",10.7454
"23","TG(16:0_18:1_18:2)","C55H103O6N",10.7569
"24","TG(18:1_18:2_18:2)","C57H103O6N",10.7583
"25","TG(14:0_16:0_22:6)","C55H97O6N",10.7601
"26","TG(16:0_16:2_18:2)","C53H97O6N",10.7602
"27","TG(16:0_16:1_22:6)","C57H99O6N",10.7903
"28","TG(18:1_18:2_22:6)","C61H103O6N",10.8006
"29","TG(16:0_18:2_22:6)","C59H101O6N",10.8048
"30","TG(16:0_18:2_21:5)","C58H101O6N",10.8167
"31","TG(18:1_20:3_22:6)","C63H105O6N",10.8226
"32","TG(16:0_18:0_22:6)","C59H105O6N",10.8606
"33","TG(16:1_18:1_20:2)","C57H105O6N",10.9451
"34","TG(16:0_18:2_20:4)","C57H101O6N",10.9808
"35","TG(17:1_18:2_20:3)","C58H103O6N",11.0703
"36","TG(16:0_17:2_18:2)","C54H99O6N",11.0715
"37","TG(18:0_22:6_22:6)","C65H105O6N",11.0715
"38","TG(16:0_18:1_22:6)","C59H103O6N",11.0886
"39","TG(14:0_16:0_16:1)","C49H95O6N",11.1019
"40","TG(16:0_16:1_20:4)","C55H99O6N",11.104
"41","TG(16:0_18:1_18:2)","C55H103O6N",11.1684
"42","TG(14:0_16:0_18:2)","C51H97O6N",11.1743
"43","TG(16:0_16:1_18:2)","C53H99O6N",11.1947
"44","TG(18:0_22:5_22:6)","C65H107O6N",11.2439
"45","TG(38:5_18:1)","C59H105O6N",11.2749
"46","TG(18:1_24:5_22:6)","C67H109O6N",11.2894
"47","TG(22:4_16:0_20:0)","C61H113O6N",11.2982
"48","TG(16:1_18:1_18:2)","C55H101O6N",11.2988
"49","TG(18:0_20:4_22:6)","C63H105O6N",11.3039
"50","TG(18:1_18:2_18:2)","C57H103O6N",11.3304
