isotopeLabel,compound,formula,M,H,L,N,I,G,E,F,J,K,C,A,B,D
C12 PARENT,TG(14:0_16:0_16:0),C49H97O6N,7621810.5,10662599,9030051,7865645.5,5066455.5,NA,5102420.5,7507473.5,8820221,8458289,NA,8636799,8633684,9443060
C13-label-1,TG(14:0_16:0_16:0),C49H97O6N,3623823.75,4849883.5,4360508.5,4211717.5,2577725.25,NA,2447855.25,4141451.25,5117297,4885742,NA,5056660,4414480.5,4634180
C13-label-2,TG(14:0_16:0_16:0),C49H97O6N,1433167.38,2175307.25,1509507.5,1744974.38,899542.5,NA,732442.81,1500494.62,1295085.62,1942878.38,NA,1649290.88,1939996.88,1674339.5
C13-label-3,TG(14:0_16:0_16:0),C49H97O6N,155143.48,336845.84,159269.2,558228.81,415450.59,NA,62848.83,369398.25,308730.91,354664.78,NA,315529.25,599366.31,223093.92
C13-label-4,TG(14:0_16:0_16:0),C49H97O6N,0,108787.29,0,0,109431.6,NA,30998.85,0,0,0,NA,199061.19,255247.86,289198.97
C13-label-6,TG(14:0_16:0_16:0),C49H97O6N,0,0,113639.43,0,0,NA,0,0,0,0,NA,0,0,0
C12 PARENT,TG(14:0_16:0_16:1),C49H95O6N,11680440,21837652,14949313,10424288,6706174.5,NA,3711007.75,21797866,17025994,18520818,NA,17674452,22741928,14317736
C13-label-1,TG(14:0_16:0_16:1),C49H95O6N,5993051.5,12650224,7827481.5,5459996.5,3600368.75,NA,2079772.62,11180877,9802153,10677663,NA,9013155,12359837,8518440
C13-label-2,TG(14:0_16:0_16:1),C49H95O6N,2167541.25,4184072.75,2343737,1924780.38,1254558.62,NA,718316.69,3751649.25,2993183.25,2745754.75,NA,3400652.75,5605894.5,2813541.25
C13-label-29,TG(14:0_16:0_16:1),C49H95O6N,0,0,37927.8,0,0,NA,0,0,0,0,NA,0,0,0
C13-label-3,TG(14:0_16:0_16:1),C49H95O6N,503532.38,242074.94,421451.03,411669.09,387527.16,NA,113957.26,954075.19,792863.19,1142356,NA,1057881.88,1465364.38,487351.72
C13-label-4,TG(14:0_16:0_16:1),C49H95O6N,41849.18,373034.66,77969.28,418559.5,64527.73,NA,52738.68,361313.5,78970.91,157156.92,NA,331892.84,537765.81,443758.25
C13-label-5,TG(14:0_16:0_16:1),C49H95O6N,0,74694.05,69745.29,121893.21,0,NA,0,105603.96,74571.82,0,NA,132705.84,0,0
C13-label-6,TG(14:0_16:0_16:1),C49H95O6N,0,128943.6,0,79795.71,0,NA,0,0,0,0,NA,0,106794.25,0
