label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,J_fullscan_scanevent2,H_fullscan_scanevent2,L_fullscan_scanevent2,N_fullscan_scanevent2,I_fullscan_scanevent2,G_fullscan_scanevent2,E_fullscan_scanevent2,F_fullscan_scanevent2,J2_fullscan_scanevent2,K_fullscan_scanevent2,C_fullscan_scanevent2,A_fullscan_scanevent2,B_fullscan_scanevent2,D_fullscan_scanevent2
,590,590,12,796.739746,11.832,0.829296,[M+H]+,C12 PARENT,TG(14:0_16:0_16:0),TG(14:0_16:0_16:0),C49H97O6N,0.002,1.072487,796.739746,7621810.50,10662599.00,9030051.00,7865645.50,5066455.50,NA,5102420.50,7507473.50,8820221.00,8458289.00,NA,8636799.00,8633684.00,9443060.00
,590,591,4,797.743164,11.829,0.842625,,C13-label-1,TG(14:0_16:0_16:0),TG(14:0_16:0_16:0),C49H97O6N,0.005,1.224158,796.739746,3623823.75,4849883.50,4360508.50,4211717.50,2577725.25,NA,2447855.25,4141451.25,5117297.00,4885742.00,NA,5056660.00,4414480.50,4634180.00
,590,592,7,798.746765,11.834,0.831210,,C13-label-2,TG(14:0_16:0_16:0),TG(14:0_16:0_16:0),C49H97O6N,0.001,1.528275,796.739746,1433167.38,2175307.25,1509507.50,1744974.38,899542.50,NA,732442.81,1500494.62,1295085.62,1942878.38,NA,1649290.88,1939996.88,1674339.50
,590,593,2,799.750000,11.841,0.685640,,C13-label-3,TG(14:0_16:0_16:0),TG(14:0_16:0_16:0),C49H97O6N,0.007,1.373722,796.739746,155143.48,336845.84,159269.20,558228.81,415450.59,NA,62848.83,369398.25,308730.91,354664.78,NA,315529.25,599366.31,223093.92
,590,594,0,800.752136,11.853,0.081616,,C13-label-4,TG(14:0_16:0_16:0),TG(14:0_16:0_16:0),C49H97O6N,0.018,0.152445,796.739746,0.00,108787.29,0.00,0.00,109431.60,NA,30998.85,0.00,0.00,0.00,NA,199061.19,255247.86,289198.97
,590,595,0,802.759766,11.889,0.075539,,C13-label-6,TG(14:0_16:0_16:0),TG(14:0_16:0_16:0),C49H97O6N,0.054,0.988413,796.739746,0.00,0.00,113639.43,0.00,0.00,NA,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
,596,596,12,794.724182,11.097,0.831073,[M+H]+,C12 PARENT,TG(14:0_16:0_16:1),TG(14:0_16:0_16:1),C49H95O6N,0.005,1.228808,794.724182,11680440.00,21837652.00,14949313.00,10424288.00,6706174.50,NA,3711007.75,21797866.00,17025994.00,18520818.00,NA,17674452.00,22741928.00,14317736.00
,596,597,5,795.727539,11.100,0.696503,,C13-label-1,TG(14:0_16:0_16:1),TG(14:0_16:0_16:1),C49H95O6N,0.002,1.227259,794.724182,5993051.50,12650224.00,7827481.50,5459996.50,3600368.75,NA,2079772.62,11180877.00,9802153.00,10677663.00,NA,9013155.00,12359837.00,8518440.00
,596,598,3,796.730957,11.097,0.828124,,C13-label-2,TG(14:0_16:0_16:1),TG(14:0_16:0_16:1),C49H95O6N,0.005,1.302320,794.724182,2167541.25,4184072.75,2343737.00,1924780.38,1254558.62,NA,718316.69,3751649.25,2993183.25,2745754.75,NA,3400652.75,5605894.50,2813541.25
,596,599,0,823.820496,11.046,0.067253,,C13-label-29,TG(14:0_16:0_16:1),TG(14:0_16:0_16:1),C49H95O6N,0.056,0.000000,794.724182,0.00,0.00,37927.80,0.00,0.00,NA,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
,596,600,9,797.734192,11.114,0.819389,,C13-label-3,TG(14:0_16:0_16:1),TG(14:0_16:0_16:1),C49H95O6N,0.012,1.147661,794.724182,503532.38,242074.94,421451.03,411669.09,387527.16,NA,113957.26,954075.19,792863.19,1142356.00,NA,1057881.88,1465364.38,487351.72
,596,601,3,798.737488,11.087,0.801571,,C13-label-4,TG(14:0_16:0_16:1),TG(14:0_16:0_16:1),C49H95O6N,0.015,1.069805,794.724182,41849.18,373034.66,77969.28,418559.50,64527.73,NA,52738.68,361313.50,78970.91,157156.92,NA,331892.84,537765.81,443758.25
,596,602,0,799.740540,11.070,0.077157,,C13-label-5,TG(14:0_16:0_16:1),TG(14:0_16:0_16:1),C49H95O6N,0.032,0.686869,794.724182,0.00,74694.05,69745.29,121893.21,0.00,NA,0.00,105603.96,74571.82,0.00,NA,132705.84,0.00,0.00
,596,603,0,800.744202,11.102,0.076268,,C13-label-6,TG(14:0_16:0_16:1),TG(14:0_16:0_16:1),C49H95O6N,0.000,1.067124,794.724182,0.00,128943.60,0.00,79795.71,0.00,NA,0.00,0.00,0.00,0.00,NA,0.00,106794.25,0.00
,604,604,12,824.771301,12.606,0.805062,[M+H]+,C12 PARENT,TG(14:0_16:0_18:0),TG(14:0_16:0_18:0),C51H101O6N,0.003,1.406050,824.771301,28005014.00,31145360.00,41036140.00,41919612.00,38814168.00,NA,44415672.00,28334374.00,43764900.00,33484400.00,NA,51198308.00,33015854.00,55743824.00
,604,605,0,825.774597,12.597,0.422498,,C13-label-1,TG(14:0_16:0_18:0),TG(14:0_16:0_18:0),C51H101O6N,0.012,1.330429,824.771301,16493783.00,18542676.00,22468326.00,22666952.00,21069486.00,NA,24269150.00,18648992.00,24286766.00,21029662.00,NA,26843926.00,18963884.00,31125334.00
,604,606,0,826.778015,12.596,0.176817,,C13-label-2,TG(14:0_16:0_18:0),TG(14:0_16:0_18:0),C51H101O6N,0.013,1.402637,824.771301,4632367.50,5296882.00,7357866.00,7745872.00,7912194.00,NA,6069644.00,4569220.00,5678321.50,6215784.50,NA,7777352.00,6580002.50,8599921.00
,604,607,1,827.781067,12.611,0.805752,,C13-label-3,TG(14:0_16:0_18:0),TG(14:0_16:0_18:0),C51H101O6N,0.002,1.032269,824.771301,546438.56,1930231.50,1111540.12,1930369.12,1400056.50,NA,1341111.62,1178265.12,1746670.88,1159015.12,NA,2150472.00,947240.56,1871151.50
,604,608,1,828.783997,12.633,0.681147,,C13-label-4,TG(14:0_16:0_18:0),TG(14:0_16:0_18:0),C51H101O6N,0.025,0.515510,824.771301,0.00,36862.53,592303.19,361989.84,607581.19,NA,88419.41,532392.62,392258.25,198096.83,NA,569450.31,522900.16,357136.62
,604,609,0,829.787598,12.638,0.085266,,C13-label-5,TG(14:0_16:0_18:0),TG(14:0_16:0_18:0),C51H101O6N,0.029,0.809107,824.771301,0.00,0.00,69792.31,0.00,0.00,NA,0.00,0.00,0.00,0.00,NA,50229.56,260976.62,471247.78
,610,610,12,822.755676,11.841,0.829555,[M+H]+,C12 PARENT,TG(14:0_16:0_18:1),TG(14:0_16:0_18:1),C51H99O6N,0.006,1.409495,822.755676,135349584.00,243652288.00,122589856.00,155124192.00,82302136.00,NA,48770724.00,209262464.00,127034016.00,165929616.00,NA,156233312.00,142957952.00,158013648.00
,610,611,8,823.758972,11.838,0.664232,,C13-label-1,TG(14:0_16:0_18:1),TG(14:0_16:0_18:1),C51H99O6N,0.009,1.333684,822.755676,75812536.00,147434576.00,68180160.00,85080664.00,48060864.00,NA,28175104.00,115059224.00,75778552.00,96333472.00,NA,90504296.00,93271104.00,94826688.00
,610,612,8,824.762207,11.838,0.713794,,C13-label-2,TG(14:0_16:0_18:1),TG(14:0_16:0_18:1),C51H99O6N,0.009,1.184055,822.755676,21113624.00,41347988.00,24973306.00,35279464.00,16712012.00,NA,8806928.00,40870128.00,24828454.00,35882956.00,NA,34589972.00,38586404.00,34331284.00
,610,613,1,848.841309,11.852,0.620230,,C13-label-26,TG(14:0_16:0_18:1),TG(14:0_16:0_18:1),C51H99O6N,0.005,0.503328,822.755676,0.00,0.00,171711.16,161449.86,0.00,NA,0.00,264020.56,92136.91,0.00,NA,0.00,0.00,79797.16
,610,614,0,849.843445,11.849,0.077803,,C13-label-27,TG(14:0_16:0_18:1),TG(14:0_16:0_18:1),C51H99O6N,0.002,1.939117,822.755676,0.00,209535.50,0.00,0.00,0.00,NA,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
