label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,J_fullscan_scanevent2,H_fullscan_scanevent2,L_fullscan_scanevent2,N_fullscan_scanevent2,I_fullscan_scanevent2,G_fullscan_scanevent2,E_fullscan_scanevent2,F_fullscan_scanevent2,J2_fullscan_scanevent2,K_fullscan_scanevent2,C_fullscan_scanevent2,A_fullscan_scanevent2,B_fullscan_scanevent2,D_fullscan_scanevent2
,27,27,12,820.739929,11.170,0.839307,[M+H]+,C12 PARENT,TG(14:0_16:0_18:2),TG(14:0_16:0_18:2),C51H97O6N,0.004,1.264224,820.739929,100584288.00,223908544.00,83230184.00,93118440.00,68894240.00,NA,38166076.00,200246960.00,144534368.00,152635280.00,NA,137562800.00,183244464.00,130452856.00
,27,28,4,821.743225,11.170,0.790251,,C13-label-1,TG(14:0_16:0_18:2),TG(14:0_16:0_18:2),C51H97O6N,0.004,1.262680,820.739929,55638996.00,129148896.00,44522740.00,56947424.00,39570484.00,NA,21452054.00,114925416.00,84117352.00,89078968.00,NA,80644136.00,110685368.00,73691848.00
,27,29,0,831.776489,11.198,0.060892,,C13-label-11,TG(14:0_16:0_18:2),TG(14:0_16:0_18:2),C51H97O6N,0.023,0.880552,820.739929,0.00,0.00,0.00,0.00,0.00,NA,45352.40,0.00,0.00,0.00,NA,0.00,0.00,0.00
,27,30,1,836.793152,11.195,0.602290,,C13-label-16,TG(14:0_16:0_18:2),TG(14:0_16:0_18:2),C51H97O6N,0.021,0.729394,820.739929,0.00,0.00,0.00,110473.38,73935.80,NA,0.00,248861.77,96327.70,138965.98,NA,315883.53,215316.02,393721.28
,27,31,6,837.796875,11.179,0.836821,,C13-label-17,TG(14:0_16:0_18:2),TG(14:0_16:0_18:2),C51H97O6N,0.005,1.165633,820.739929,89386.66,265410.16,311025.34,97895.16,327835.09,NA,315252.22,330464.06,844457.00,1404066.88,NA,371544.03,1724288.00,862686.75
,27,32,12,838.800354,11.184,0.847909,,C13-label-18,TG(14:0_16:0_18:2),TG(14:0_16:0_18:2),C51H97O6N,0.009,1.309768,820.739929,4378270.50,6750406.00,5220078.50,5838068.00,3409629.00,NA,4947078.50,11567093.00,13184899.00,15872127.00,NA,18340934.00,26696322.00,17897776.00
,27,33,12,839.803711,11.188,0.846884,,C13-label-19,TG(14:0_16:0_18:2),TG(14:0_16:0_18:2),C51H97O6N,0.014,1.308204,820.739929,1475204.50,2580393.00,2239227.75,2494936.50,1465675.62,NA,1836369.62,4537329.50,5055868.00,7378894.00,NA,7407524.00,10060789.00,6584268.50
,27,34,7,822.746582,11.164,0.849218,,C13-label-2,TG(14:0_16:0_18:2),TG(14:0_16:0_18:2),C51H97O6N,0.010,1.261140,820.739929,18075290.00,36943428.00,18033890.00,23489046.00,14675867.00,NA,7112196.50,42055464.00,29300560.00,31668098.00,NA,29865560.00,43876324.00,28647618.00
,27,35,11,840.807129,11.185,0.836972,,C13-label-20,TG(14:0_16:0_18:2),TG(14:0_16:0_18:2),C51H97O6N,0.011,1.379234,820.739929,444058.41,414930.75,361615.84,591762.06,769727.31,NA,349172.59,1547165.62,1247988.88,1595991.50,NA,2304840.25,3501755.00,1543937.62
,27,36,2,841.810425,11.181,0.800610,,C13-label-21,TG(14:0_16:0_18:2),TG(14:0_16:0_18:2),C51H97O6N,0.006,1.305085,820.739929,0.00,171738.67,45341.44,0.00,77969.89,NA,159761.48,0.00,152484.27,254837.92,NA,304337.84,733444.00,152972.70
