label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,LIVER_A,LIVER_B,LIVER_C,LIVER_D,LIVER_E,LIVER_F,LIVER_G,LIVER_H,LIVER_I,LIVER_J,LIVER_K,LIVER_L,LIVER_M,LIVER_N
,1,1,14,133.014374,8.417,0.827924,[M-H]-,C12 PARENT,Malate,HMDB0000156,C4H6O5,0.162,0.917724,133.014374,88583808.00,121171880.00,83503576.00,103862688.00,114720680.00,114739176.00,147317200.00,54516108.00,112068928.00,114398264.00,114940744.00,75669176.00,91135960.00,89357768.00
,1,2,10,134.017685,8.415,0.678808,,C13-label-1,Malate,HMDB0000156,C4H6O5,0.160,0.569283,133.014374,8419640.00,12446721.00,8442494.00,10079116.00,11228680.00,9547831.00,6691716.00,4176620.75,8692745.00,9976035.00,10599137.00,5480439.50,6762239.50,7696000.50
,1,3,12,135.021011,8.417,0.810595,,C13-label-2,Malate,HMDB0000156,C4H6O5,0.162,0.452042,133.014374,1873802.38,3175844.00,2017662.38,2244549.25,2204107.75,1726977.38,104307.59,658434.94,1453351.00,2282836.25,2212688.75,1084389.62,1334877.38,1488397.38
,1,4,12,136.024307,8.413,0.826435,,C13-label-3,Malate,HMDB0000156,C4H6O5,0.158,0.000000,133.014374,93787.50,174467.11,94778.45,124198.94,105419.40,64108.50,0.00,28508.09,61546.18,119952.25,103723.07,46093.44,54704.12,67060.34
,1,5,0,137.027756,8.466,0.131230,,C13-label-4,Malate,HMDB0000156,C4H6O5,0.211,0.668133,133.014374,6303.35,12329.26,14716.34,9665.71,10673.22,10299.83,3097.85,8144.41,6349.93,9410.27,7716.42,6469.91,8778.10,11636.86
,6,6,14,117.019424,7.922,0.807018,[M-H]-,C12 PARENT,Succinic acid,HMDB0000254,C4H6O4,0.332,0.782373,117.019424,49568564.00,56004432.00,66791444.00,62368960.00,44775244.00,28489056.00,66113644.00,59814064.00,57447756.00,71736600.00,75867200.00,69463680.00,85317672.00,87943152.00
,6,7,0,118.022720,7.923,0.463430,,C13-label-1,Succinic acid,HMDB0000254,C4H6O4,0.333,0.258574,117.019424,4586856.00,5619168.00,5972050.50,5469025.50,4128735.00,2224716.25,2926519.00,4508885.50,4263890.00,6166788.00,6772020.50,5228279.50,6361889.50,7256796.00
,6,8,0,119.026024,7.918,0.458486,,C13-label-2,Succinic acid,HMDB0000254,C4H6O4,0.328,0.128197,117.019424,1435989.88,1807710.88,1928854.38,1612453.88,1555813.62,684445.69,48159.52,1351490.50,1194950.62,1576190.00,2021215.88,1273117.88,1791180.12,2247250.00
,6,9,12,120.029488,7.929,0.786378,,C13-label-3,Succinic acid,HMDB0000254,C4H6O4,0.339,0.762753,117.019424,68819.38,105829.10,89815.57,94527.57,73909.38,38920.37,0.00,59970.93,44903.00,81391.71,94228.12,51301.00,74814.95,121387.13
,13,13,14,145.014450,7.135,0.801529,[M-H]-,C12 PARENT,Alpha-Ketoglutarate,HMDB0000208,C5H6O5,0.189,1.367895,145.014450,643758.75,625701.44,283413.72,362566.34,1286665.50,682670.06,834924.81,1996530.38,873933.19,358818.59,780038.50,1036354.75,1506847.38,1332782.88
,13,14,6,146.017715,7.103,0.767417,,C13-label-1,Alpha-Ketoglutarate,HMDB0000208,C5H6O5,0.157,0.731498,145.014450,61722.22,55668.22,26900.53,33032.59,106658.16,54655.32,36526.38,149715.02,66594.77,31419.13,62683.33,74223.72,98123.54,100143.00
