label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,serum_A,serum_B,serum_C,serum_D,serum_E,serum_G,serum_H,serum_I,serum_J,serum_K,serum_L,serum_M,serum_N
,18,18,13,279.233398,1.242,0.828269,[M-H]-,C12 PARENT,C18:2,C18:2,C18H32O2,0.758,1.639361,279.233398,156164096.00,219876560.00,215802448.00,177075312.00,283927392.00,201519312.00,235662656.00,214223408.00,162313088.00,394600096.00,1048947456.00,352501504.00,222120048.00
,18,19,8,280.236603,1.242,0.672440,,C13-label-1,C18:2,C18:2,C18H32O2,0.758,0.980095,279.233398,29771680.00,41716292.00,41728876.00,33213598.00,55017388.00,38656456.00,44497220.00,39575060.00,30889542.00,76276264.00,200087376.00,68623536.00,42142864.00
,18,20,0,294.283783,1.272,0.068305,,C13-label-15,C18:2,C18:2,C18H32O2,0.728,1.659222,279.233398,6087.73,29318.18,0.00,32086.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,18,21,6,295.286682,1.240,0.826707,,C13-label-16,C18:2,C18:2,C18H32O2,0.760,0.103349,279.233398,253827.20,245432.11,271442.25,361872.41,264146.88,48627.54,290638.72,194301.58,135707.92,318456.72,529147.31,119886.05,266597.84
,18,22,6,296.290314,1.239,0.655911,,C13-label-17,C18:2,C18:2,C18H32O2,0.761,1.029990,279.233398,1594946.50,1799379.62,1494922.50,1792563.00,2453868.75,424634.09,2005528.88,1378069.50,784692.00,3834456.25,2833751.75,877909.44,1166365.38
,18,23,8,297.293518,1.242,0.669590,,C13-label-18,C18:2,C18:2,C18H32O2,0.758,0.513257,279.233398,28070194.00,27725056.00,31170328.00,32192150.00,50070528.00,8429212.00,35760808.00,23554758.00,13808979.00,68525240.00,49956724.00,15085781.00,21535624.00
,18,24,0,281.240173,1.315,0.154950,,C13-label-2,C18:2,C18:2,C18H32O2,0.685,1.736175,279.233398,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65881.13,0.00,0.00,3267411.00,0.00
,25,25,13,179.056381,5.512,0.838828,[M-H]-,C12 PARENT,Glucose,HMDB0000122,C6H12O6,0.059,1.533923,179.056381,83056576.00,68481288.00,75483536.00,81059800.00,81075592.00,111457000.00,136571296.00,78187416.00,83998520.00,122768488.00,106904360.00,66484756.00,115756544.00
,25,26,5,180.059647,5.513,0.795926,,C13-label-1,Glucose,HMDB0000122,C6H12O6,0.060,1.016917,179.056381,11225228.00,11176440.00,10589179.00,11394317.00,9924114.00,7655282.50,12409843.00,7454663.50,11155596.00,16016675.00,9951521.00,5820324.00,10801184.00
,25,27,4,181.063004,5.504,0.707324,,C13-label-2,Glucose,HMDB0000122,C6H12O6,0.051,1.011281,179.056381,1779122.00,1931810.38,1711706.12,1909258.88,1523168.12,142901.81,1327759.50,670578.50,1564166.38,2464780.25,1038065.94,437219.78,1141741.25
,25,28,9,182.066269,5.489,0.810922,,C13-label-3,Glucose,HMDB0000122,C6H12O6,0.036,0.502854,179.056381,116713.77,152704.30,158820.44,152027.05,121397.15,0.00,65278.39,38552.12,147666.58,187521.92,60112.38,25725.06,79081.56
,25,29,0,183.069794,5.473,0.062671,,C13-label-4,Glucose,HMDB0000122,C6H12O6,0.020,1.416945,179.056381,7762.20,9494.25,6548.91,0.00,0.00,0.00,0.00,0.00,13299.51,0.00,0.00,0.00,0.00
,25,30,0,184.072784,5.569,0.056162,,C13-label-5,Glucose,HMDB0000122,C6H12O6,0.116,0.580268,179.056381,0.00,0.00,0.00,0.00,6520.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,31,31,13,89.024498,3.518,0.828687,[M-H]-,C12 PARENT,Lactate,HMDB0000190,C3H6O3,0.187,0.857000,89.024498,605391424.00,523299424.00,530302240.00,658916928.00,366281216.00,325909760.00,467527936.00,371312608.00,573755200.00,921648640.00,1133644800.00,606159616.00,632063680.00
,31,32,13,90.027710,3.516,0.699222,,C13-label-1,Lactate,HMDB0000190,C3H6O3,0.185,0.677959,89.024498,30970192.00,31477798.00,26284358.00,33387534.00,18023296.00,11402977.00,19799352.00,15696736.00,30981384.00,45581456.00,48366692.00,24556672.00,28008902.00
,31,33,10,91.031052,3.515,0.692644,,C13-label-2,Lactate,HMDB0000190,C3H6O3,0.184,0.838108,89.024498,2912017.75,3823163.75,2267598.75,3071394.00,1558116.00,129142.48,1121290.12,910467.19,2944262.75,3995230.00,2932418.00,1025113.31,1604207.62
,31,34,2,92.034569,3.521,0.575598,,C13-label-3,Lactate,HMDB0000190,C3H6O3,0.190,0.911868,89.024498,113054.99,133423.39,109581.76,49468.82,31175.62,0.00,24114.37,19022.24,77418.35,98664.70,91879.01,23271.55,0.00
