label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Liver_A,Liver_B,Liver_C,Liver_D,Liver_E,Liver_F,Liver_G,Liver_H,Liver_I,Liver_J,sap_blank,sap_blank_1uL,sap_Liver_1uL_A,sap_Liver_1uL_B,sap_Liver_1uL_C,sap_Liver_1uL_D,sap_Liver_1uL_E,sap_Liver_1uL_F,sap_Liver_1uL_G,sap_Liver_1uL_H,sap_Liver_1uL_I,sap_Liver_1uL_J,sap_Liver_A,sap_Liver_B,sap_Liver_C,sap_Liver_D,sap_Liver_E,sap_Liver_F,sap_Liver_G,sap_Liver_H,sap_Liver_I,sap_Liver_J,Serum_A,Serum_B,Serum_C,Serum_D,Serum_E,Serum_F,Serum_G,Serum_H,Serum_I,Serum_J
,1,1,20,179.055939,5.667,0.839967,[M-H]-,C12 PARENT,S2N_Glucose,HMDB0000122,C6H12O6,0.214,0.937397,179.055939,56449600.00,67077292.00,48073396.00,46922704.00,39328228.00,44188372.00,54571124.00,25744694.00,47139148.00,28214210.00,12291.61,16106.74,24884.08,18058.99,10526.79,17947.01,21091.55,20048.07,19812.00,23632.98,25432.78,13077.54,22142.45,24630.51,26265.70,27276.05,28954.63,19026.49,25157.57,23804.01,22834.25,42837.72,79506712.00,84475528.00,75176600.00,72385096.00,69935080.00,66543372.00,67310600.00,69869552.00,67869728.00,72922552.00
,1,2,9,180.059357,5.596,0.801965,,C13-label-1,S2N_Glucose,HMDB0000122,C6H12O6,0.143,0.593201,179.055939,4266884.50,5302333.50,3707471.25,4106541.00,3303768.25,3786532.75,4415878.50,1858705.38,3565402.00,2033314.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5846736.00,6368306.50,5614794.00,6056325.50,5781574.50,5681800.00,5047335.50,4991238.50,4872245.50,5216491.50
,1,3,20,181.062637,5.584,0.840497,,C13-label-2,S2N_Glucose,HMDB0000122,C6H12O6,0.131,1.011281,179.055939,172456.97,241895.80,187352.69,354228.62,234590.83,274472.09,165157.61,50009.06,152598.48,79334.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,209571.61,250387.62,286856.47,457353.34,441494.03,466690.41,202336.62,127440.46,171935.97,165445.44
,1,4,0,182.065933,5.556,0.387179,,C13-label-3,S2N_Glucose,HMDB0000122,C6H12O6,0.103,1.340944,179.055939,7235.03,8164.04,11648.19,9302.57,13659.00,5491.11,3724.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5768.41,23897.27,23056.49,26179.93,0.00,0.00,0.00,0.00
,5,5,39,87.008713,2.346,0.831338,[M-H]-,C12 PARENT,S1N_Pyruvate,HMDB0000243,C3H4O3,0.159,0.613797,87.008713,1238495.62,1479172.38,1668890.12,1369869.38,1434542.50,1186186.88,3558716.75,771146.31,1899398.00,991161.25,8327.45,7674.60,47347.56,39822.61,31687.32,35322.41,32760.46,31671.83,38578.68,41011.39,23921.24,28104.40,151484.14,151842.67,105232.55,130743.40,110650.23,99395.29,110762.88,108137.34,84862.61,102553.88,22780394.00,15735557.00,20986290.00,7215432.00,8460068.00,12972547.00,8384543.50,10766169.00,16043171.00,14139264.00
,5,6,15,88.012024,2.350,0.781363,,C13-label-1,S1N_Pyruvate,HMDB0000243,C3H4O3,0.163,1.126914,87.008713,41195.12,52730.82,63980.63,55871.21,63071.04,48469.48,132263.62,24485.62,72292.12,37049.23,0.00,0.00,1465.72,0.00,0.00,1064.77,0.00,0.00,1259.48,0.00,0.00,1316.57,3256.85,2472.84,1957.82,2329.19,3177.00,2062.49,2772.20,3114.98,3564.16,1564.21,879901.69,610948.75,769403.00,287305.97,356262.78,542922.00,318845.94,394765.12,606470.44,533159.00
,5,7,5,89.015396,2.338,0.653488,,C13-label-2,S1N_Pyruvate,HMDB0000243,C3H4O3,0.151,0.942795,87.008713,0.00,1362.18,0.00,3808.42,1602.51,0.00,2847.23,0.00,2096.81,0.00,0.00,0.00,0.00,0.00,1043.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1137.41,0.00,0.00,0.00,0.00,0.00,19725.08,18046.75,21681.29,11981.64,15600.53,26248.28,9391.93,13126.57,16069.48,14566.38
,8,8,21,88.040268,6.289,0.823250,[M-H]-,C12 PARENT,S1N_Alanine,HMDB0000161,C3H7NO2,0.069,1.559842,88.040268,34800864.00,29731014.00,12825315.00,13531053.00,16301485.00,16983512.00,21060928.00,7044935.50,16658492.00,9709608.00,29125.45,478853.38,352873.00,323984.72,360116.62,350788.62,323523.50,324683.34,346040.09,344085.53,346460.88,448065.34,36764.46,41471.45,38842.67,0.00,34483.12,38325.95,33581.29,28260.91,42796.39,30782.95,6365564.00,6243784.50,5560335.00,5862104.50,6006816.50,6028713.50,5843689.50,5140879.50,6047351.50,4568710.50
,8,9,12,90.047035,6.304,0.825105,,C13-label-2,S1N_Alanine,HMDB0000161,C3H7NO2,0.084,0.847267,88.040268,39898.18,50501.55,16991.27,49197.04,38843.37,44071.69,30459.18,1711.55,16409.99,12637.20,0.00,0.00,0.00,0.00,0.00,0.00,3919.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1792.24,6662.00,5199.46,8407.65,12165.43,10578.90,4741.17,2473.23,2578.29,3815.50
,8,10,0,91.050339,6.307,0.057755,,C13-label-3,S1N_Alanine,HMDB0000161,C3H7NO2,0.087,1.424482,88.040268,0.00,2419.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
